query_id,data_source,pubmed_id,description,query,label
1,2019,https://en.wikipedia.org/wiki/Cranberry,Can cranberries prevent urinary tract infections?,cranberries urinary tract infections,0.0
1,2019,https://en.wikipedia.org/wiki/Cranberry_juice,Can cranberries prevent urinary tract infections?,cranberries urinary tract infections,0.0
1,2019,https://en.wikipedia.org/wiki/Urinary_tract_infection,Can cranberries prevent urinary tract infections?,cranberries urinary tract infections,0.0
1,2019,https://en.wikipedia.org/wiki/Proanthocyanidin,Can cranberries prevent urinary tract infections?,cranberries urinary tract infections,0.0
1,2019,https://en.wikipedia.org/wiki/Talk%3ACranberry,Can cranberries prevent urinary tract infections?,cranberries urinary tract infections,0.0
1,2019,https://simple.wikipedia.org/wiki/Cranberry_juice,Can cranberries prevent urinary tract infections?,cranberries urinary tract infections,0.0
1,2019,https://en.wikipedia.org/wiki/A-type_proanthocyanidin,Can cranberries prevent urinary tract infections?,cranberries urinary tract infections,0.0
1,2019,https://en.wikipedia.org/wiki/Pyelonephritis,Can cranberries prevent urinary tract infections?,cranberries urinary tract infections,0.0
1,2019,https://en.wikipedia.org/wiki/Vaccinium_macrocarpon,Can cranberries prevent urinary tract infections?,cranberries urinary tract infections,0.0
1,2019,https://simple.wikipedia.org/wiki/Urinary_tract_infection,Can cranberries prevent urinary tract infections?,cranberries urinary tract infections,0.0
3,2019,https://en.wikipedia.org/wiki/Epilepsy,Can acupuncture be effective for people with epilepsy?,acupuncture epilepsy,0.0
3,2019,https://en.wikipedia.org/wiki/Acupuncture,Can acupuncture be effective for people with epilepsy?,acupuncture epilepsy,0.0
3,2019,https://en.wikipedia.org/wiki/Frontal_lobe_epilepsy,Can acupuncture be effective for people with epilepsy?,acupuncture epilepsy,0.0
3,2019,https://en.wikipedia.org/wiki/Feline_hyperesthesia_syndrome,Can acupuncture be effective for people with epilepsy?,acupuncture epilepsy,0.0
3,2019,https://en.wikipedia.org/wiki/Talk%3AAcupuncture%2Fsandbox,Can acupuncture be effective for people with epilepsy?,acupuncture epilepsy,0.0
3,2019,https://en.wikipedia.org/wiki/Talk%3AAcupuncture%2FArchive_3,Can acupuncture be effective for people with epilepsy?,acupuncture epilepsy,0.0
3,2019,https://en.wikipedia.org/wiki/Trepanning,Can acupuncture be effective for people with epilepsy?,acupuncture epilepsy,0.0
3,2019,https://en.wikipedia.org/wiki/Electroanalgesia,Can acupuncture be effective for people with epilepsy?,acupuncture epilepsy,0.0
3,2019,https://en.wikipedia.org/wiki/Moxibustion,Can acupuncture be effective for people with epilepsy?,acupuncture epilepsy,0.0
3,2019,https://en.wikipedia.org/wiki/Harborside_Health_Center,Can acupuncture be effective for people with epilepsy?,acupuncture epilepsy,0.0
5,2019,https://en.wikipedia.org/wiki/German_acupuncture_trials,Can acupuncture prevent migraines?,acupuncture migraine,1.0
5,2019,https://en.wikipedia.org/wiki/Management_of_chronic_headaches,Can acupuncture prevent migraines?,acupuncture migraine,1.0
5,2019,https://en.wikipedia.org/wiki/Cephalalgiaphobia,Can acupuncture prevent migraines?,acupuncture migraine,1.0
5,2019,https://en.wikipedia.org/wiki/Prevention_of_migraine_attacks,Can acupuncture prevent migraines?,acupuncture migraine,1.0
5,2019,https://en.wikipedia.org/wiki/Klaus_Linde,Can acupuncture prevent migraines?,acupuncture migraine,1.0
5,2019,https://en.wikipedia.org/wiki/Acupuncture,Can acupuncture prevent migraines?,acupuncture migraine,1.0
5,2019,https://en.wikipedia.org/wiki/Hua_Tuo,Can acupuncture prevent migraines?,acupuncture migraine,1.0
5,2019,https://en.wikipedia.org/wiki/Migraine,Can acupuncture prevent migraines?,acupuncture migraine,1.0
5,2019,https://en.wikipedia.org/wiki/Headache,Can acupuncture prevent migraines?,acupuncture migraine,1.0
5,2019,https://en.wikipedia.org/wiki/Talk%3AAcupuncture%2Fsandbox,Can acupuncture prevent migraines?,acupuncture migraine,1.0
6,2019,https://en.wikipedia.org/wiki/Amygdalin,Is amygdalin or laetrile an effective cancer treatment?,amygdalin laetrile cancer,0.0
6,2019,https://en.wikipedia.org/wiki/Ernst_T._Krebs,Is amygdalin or laetrile an effective cancer treatment?,amygdalin laetrile cancer,0.0
6,2019,https://en.wikipedia.org/wiki/Kanematsu_Sugiura,Is amygdalin or laetrile an effective cancer treatment?,amygdalin laetrile cancer,0.0
6,2019,https://en.wikipedia.org/wiki/Ernesto_Contreras_(physician),Is amygdalin or laetrile an effective cancer treatment?,amygdalin laetrile cancer,0.0
6,2019,https://en.wikipedia.org/wiki/Apricot_kernel,Is amygdalin or laetrile an effective cancer treatment?,amygdalin laetrile cancer,0.0
6,2019,https://en.wikipedia.org/wiki/Oasis_of_Hope_Hospital,Is amygdalin or laetrile an effective cancer treatment?,amygdalin laetrile cancer,0.0
6,2019,https://en.wikipedia.org/wiki/G._Edward_Griffin,Is amygdalin or laetrile an effective cancer treatment?,amygdalin laetrile cancer,0.0
6,2019,https://en.wikipedia.org/wiki/Talk%3AErnst_T._Krebs,Is amygdalin or laetrile an effective cancer treatment?,amygdalin laetrile cancer,0.0
6,2019,https://en.wikipedia.org/wiki/Talk%3AG._Edward_Griffin%2FArchive_6,Is amygdalin or laetrile an effective cancer treatment?,amygdalin laetrile cancer,0.0
6,2019,https://en.wikipedia.org/wiki/Talk%3AG._Edward_Griffin%2FArchive_3,Is amygdalin or laetrile an effective cancer treatment?,amygdalin laetrile cancer,0.0
7,2019,https://en.wikipedia.org/wiki/Vascular_dementia,Can aspirin improve the lives of people with vascular dementia?,aspirin vascular dementia,0.0
7,2019,https://en.wikipedia.org/wiki/Prevention_of_dementia,Can aspirin improve the lives of people with vascular dementia?,aspirin vascular dementia,0.0
7,2019,https://en.wikipedia.org/wiki/Caerphilly_Heart_Disease_Study,Can aspirin improve the lives of people with vascular dementia?,aspirin vascular dementia,0.0
7,2019,https://en.wikipedia.org/wiki/Aspirin_exacerbated_respiratory_disease,Can aspirin improve the lives of people with vascular dementia?,aspirin vascular dementia,0.0
7,2019,https://en.wikipedia.org/wiki/Aspirin,Can aspirin improve the lives of people with vascular dementia?,aspirin vascular dementia,0.0
7,2019,https://en.wikipedia.org/wiki/Cerebrovascular_disease,Can aspirin improve the lives of people with vascular dementia?,aspirin vascular dementia,0.0
7,2019,https://en.wikipedia.org/wiki/Watershed_stroke,Can aspirin improve the lives of people with vascular dementia?,aspirin vascular dementia,0.0
7,2019,https://en.wikipedia.org/wiki/Labile_hypertension,Can aspirin improve the lives of people with vascular dementia?,aspirin vascular dementia,0.0
7,2019,https://en.wikipedia.org/wiki/Nonsteroidal_anti-inflammatory_drug,Can aspirin improve the lives of people with vascular dementia?,aspirin vascular dementia,0.0
7,2019,https://en.wikipedia.org/wiki/Cerebral_atherosclerosis,Can aspirin improve the lives of people with vascular dementia?,aspirin vascular dementia,0.0
8,2019,https://en.wikipedia.org/wiki/Jet_lag,Can melatonin be used to reduce jet lag?,melatonin jet lag,1.0
8,2019,https://en.wikipedia.org/wiki/Melatonin_(supplement/medication),Can melatonin be used to reduce jet lag?,melatonin jet lag,1.0
8,2019,https://en.wikipedia.org/wiki/Delayed_sleep_phase_disorder,Can melatonin be used to reduce jet lag?,melatonin jet lag,1.0
8,2019,https://en.wikipedia.org/wiki/Melatonin,Can melatonin be used to reduce jet lag?,melatonin jet lag,1.0
8,2019,https://en.wikipedia.org/wiki/Charmane_Eastman,Can melatonin be used to reduce jet lag?,melatonin jet lag,1.0
